booking_id,customer_id,status,check_in,check_out,no_of_rooms,hotel_id,,amount,discount,date_of_booking
170,9197,Cancelled,2022-01-14,2022-01-15,1,757,,3137,796,2022-01-01
171,9197,Cancelled,2022-01-16,2022-01-17,1,757,,3137,663,2022-01-01
583,11659,Stayed,2022-01-01,2022-01-02,2,16,,6237,1320,2022-01-01
642,14499,Cancelled,2022-01-16,2022-01-18,10,346,,59254,12535,2022-01-01
569,15037,No Show,2022-01-02,2022-01-03,1,207,,1884,398,2022-01-01
882,22257,Cancelled,2022-01-01,2022-01-02,1,800,,3444,875,2022-01-01
419,29124,Cancelled,2022-01-02,2022-01-03,1,380,,2144,453,2022-01-01
436,33021,No Show,2022-01-01,2022-01-02,1,62,,2252,476,2022-01-01
889,65208,Stayed,2022-01-01,2022-01-02,1,117,,5589,1419,2022-01-01
17,66762,Stayed,2022-01-07,2022-01-08,1,109,,3509,743,2022-01-01
153,77179,Stayed,2022-01-02,2022-01-06,1,106,,11887,2515,2022-01-01
545,81709,Cancelled,2022-01-02,2022-01-03,1,449,,2192,464,2022-01-01
416,86098,Stayed,2022-01-01,2022-01-02,1,579,,2599,550,2022-01-01
641,86311,Stayed,2022-01-01,2022-01-02,1,346,,3199,677,2022-01-01
491,102430,Cancelled,2022-01-02,2022-01-03,1,3,,2469,523,2022-01-01
149,112913,Stayed,2022-01-29,2022-02-02,1,409,,26255,5554,2022-01-01
799,118118,Stayed,2022-01-01,2022-01-02,1,689,,4224,893,2022-01-01
445,145486,No Show,2022-01-03,2022-01-04,1,378,,4939,1045,2022-01-01
798,159297,Cancelled,2022-01-09,2022-01-13,1,164,,14815,3134,2022-01-01
895,166300,Stayed,2022-01-01,2022-01-02,1,501,,5004,1058,2022-01-01
731,168983,Cancelled,2022-01-01,2022-01-02,1,417,,2201,465,2022-01-01
856,169224,Cancelled,2022-01-08,2022-01-09,1,136,,5654,1436,2022-01-01
568,182041,No Show,2022-01-02,2022-01-03,1,207,,1884,398,2022-01-01
283,184360,Cancelled,2022-01-02,2022-01-03,1,473,,2989,759,2022-01-01
519,189769,Stayed,2022-01-01,2022-01-02,1,420,,2469,523,2022-01-01
570,196020,Cancelled,2022-01-01,2022-01-02,1,207,,2339,495,2022-01-01
624,1864,Stayed,2022-01-02,2022-01-03,1,653,,2534,536,2022-01-02
738,26536,Stayed,2022-01-09,2022-01-13,1,365,,6235,0,2022-01-02
808,38803,Stayed,2022-01-05,2022-01-06,1,628,,2597,550,2022-01-02
859,44047,Stayed,2022-01-03,2022-01-07,1,804,,17155,3629,2022-01-02
516,44356,Stayed,2022-01-02,2022-01-03,1,33,,2079,440,2022-01-02
657,45644,Stayed,2022-01-02,2022-01-04,1,50,,4807,1018,2022-01-02
977,56694,Cancelled,2022-01-02,2022-01-03,1,777,,2794,591,2022-01-02
